Compliance Area,Area ID,Chapter,Requirement ID,Requirement Code,Requirement Name,Obligation Type,Frequency,Applicable Scales,Priority,Control ID,Control Code,Control Name,Control Type,Automation Level,Control Frequency,Owner,Evidence Required
IT Governance,CA-001,Chapter 2,REQ-012,RBI-IT-012,Vendor Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-024,RBI-IT-CTRL-024,Vendor Due Diligence,Preventive,Manual,Per vendor,Vendor Management Team,"Due diligence reports, Financial assessments, Security assessments"
IT Governance,CA-001,Chapter 2,REQ-012,RBI-IT-012,Vendor Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-025,RBI-IT-CTRL-025,SLA Monitoring,Detective,Semi-automated,Monthly,Vendor Manager,"SLA reports, Performance scorecards, Escalation records"
IT Governance,CA-001,Chapter 2,REQ-013,RBI-IT-013,IT Service Management,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-111,RBI-IT-CTRL-111,ITSM Framework Implementation,Preventive,Semi-automated,Annual,IT Service Manager,"ITSM framework, Process documentation, Tool implementation"
IT Governance,CA-001,Chapter 2,REQ-013,RBI-IT-013,IT Service Management,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-112,RBI-IT-CTRL-112,Incident Management,Corrective,Semi-automated,Continuous,Incident Manager,"Incident tickets, SLA reports, RCA documents"
IT Governance,CA-001,Chapter 2,REQ-014,RBI-IT-014,Software Development Life Cycle (SDLC),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-113,RBI-IT-CTRL-113,Secure SDLC Policy,Preventive,Manual,Annual,Development Manager,"SDLC policy, Security requirements, Gate criteria"
IT Governance,CA-001,Chapter 2,REQ-014,RBI-IT-014,Software Development Life Cycle (SDLC),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-114,RBI-IT-CTRL-114,Code Review and Testing,Detective,Automated,Per release,Development Team,"Code review records, Test reports, Vulnerability scans"
IT Governance,CA-001,Chapter 2,REQ-015,RBI-IT-015,IT Asset Management,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-115,RBI-IT-CTRL-115,Asset Inventory Management,Preventive,Semi-automated,Continuous,Asset Manager,"Asset register, Discovery scans, Reconciliation reports"
IT Governance,CA-001,Chapter 2,REQ-015,RBI-IT-015,IT Asset Management,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-116,RBI-IT-CTRL-116,Asset Lifecycle Management,Preventive,Manual,Continuous,Asset Manager,"Lifecycle records, Disposal certificates, Sanitization logs"
IT Risk Management,CA-002,Chapter 3,REQ-019,RBI-IT-019,IT Risk Management Framework,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-026,RBI-IT-CTRL-026,Risk Framework Documentation,Preventive,Manual,Annual,CRO/CIO,"Risk framework document, Risk policies, Risk appetite statement"
IT Risk Management,CA-002,Chapter 3,REQ-019,RBI-IT-019,IT Risk Management Framework,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-027,RBI-IT-CTRL-027,Risk Governance Structure,Preventive,Manual,Annual,CRO,"Governance structure, RACI matrix, Committee charters"
IT Risk Management,CA-002,Chapter 3,REQ-020,RBI-IT-020,IT Risk Assessment,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-028,RBI-IT-CTRL-028,Annual Risk Assessment,Detective,Manual,Annual,IT Risk Manager,"Risk assessment report, Risk register, Heat maps"
IT Risk Management,CA-002,Chapter 3,REQ-020,RBI-IT-020,IT Risk Assessment,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-029,RBI-IT-CTRL-029,Risk Treatment Plans,Corrective,Manual,Quarterly,Risk Owners,"Treatment plans, Implementation status, Residual risk assessment"
IT Risk Management,CA-002,Chapter 3,REQ-023,RBI-IT-023,Data Security and Privacy,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-035,RBI-IT-CTRL-035,Data Classification,Preventive,Manual,Annual,Data Protection Officer,"Classification policy, Data inventory, Classification labels"
IT Risk Management,CA-002,Chapter 3,REQ-023,RBI-IT-023,Data Security and Privacy,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-036,RBI-IT-CTRL-036,Data Encryption,Preventive,Automated,Continuous,Security Team,"Encryption standards, Implementation records, Key management"
IT Risk Management,CA-002,Chapter 3,REQ-023,RBI-IT-023,Data Security and Privacy,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-037,RBI-IT-CTRL-037,Data Loss Prevention (DLP),Preventive,Automated,Continuous,Security Team,"DLP policies, Alert logs, Incident reports"
IT Risk Management,CA-002,Chapter 3,REQ-024,RBI-IT-024,Third-Party Risk Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-038,RBI-IT-CTRL-038,Third-Party Risk Assessment,Preventive,Manual,Per vendor,Third-Party Risk Manager,"Risk assessment, Due diligence reports, Risk ratings"
IT Risk Management,CA-002,Chapter 3,REQ-024,RBI-IT-024,Third-Party Risk Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-039,RBI-IT-CTRL-039,Ongoing Third-Party Monitoring,Detective,Semi-automated,Quarterly,Vendor Manager,"Performance reports, Compliance certificates, Audit reports"
IT Risk Management,CA-002,Chapter 3,REQ-025,RBI-IT-025,Cloud Computing Risk Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-040,RBI-IT-CTRL-040,Cloud Risk Assessment,Preventive,Manual,Per service,Cloud Security Team,"Risk assessment, Data residency verification, Compliance mapping"
IT Risk Management,CA-002,Chapter 3,REQ-025,RBI-IT-025,Cloud Computing Risk Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-041,RBI-IT-CTRL-041,Cloud Security Controls,Preventive,Automated,Continuous,Cloud Security Team,"Security configurations, Monitoring dashboards, Compliance reports"
Cybersecurity,CA-003,Chapter 4,REQ-031,RBI-IT-031,Cybersecurity Framework,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-048,RBI-IT-CTRL-048,Framework Adoption,Preventive,Manual,Annual,CISO,"Framework selection document, Implementation roadmap, Gap assessment"
Cybersecurity,CA-003,Chapter 4,REQ-031,RBI-IT-031,Cybersecurity Framework,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-049,RBI-IT-CTRL-049,Framework Maturity Assessment,Detective,Manual,Annual,CISO,"Maturity assessment, Improvement plan, Board reporting"
Cybersecurity,CA-003,Chapter 4,REQ-032,RBI-IT-032,Chief Information Security Officer (CISO),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-050,RBI-IT-CTRL-050,CISO Qualification Verification,Preventive,Manual,At appointment,HR/Board,"Resume, Certifications, Experience letters, Appointment letter"
Cybersecurity,CA-003,Chapter 4,REQ-032,RBI-IT-032,Chief Information Security Officer (CISO),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-051,RBI-IT-CTRL-051,CISO Reporting Structure,Detective,Manual,Quarterly,Board IT Committee,"Org chart, Reporting structure, Meeting minutes"
Cybersecurity,CA-003,Chapter 4,REQ-032,RBI-IT-032,Chief Information Security Officer (CISO),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-052,RBI-IT-CTRL-052,CISO Resource Allocation,Preventive,Manual,Annual,CEO/CFO,"Budget allocation, Team structure, Authority matrix"
Cybersecurity,CA-003,Chapter 4,REQ-033,RBI-IT-033,Security Operations Centre (SOC),Mandatory,Continuous,"Top, Upper",Critical,CTRL-053,RBI-IT-CTRL-053,SOC Establishment,Preventive,Manual,One-time,CISO,"SOC setup documentation, Staffing plan, Tool inventory"
Cybersecurity,CA-003,Chapter 4,REQ-033,RBI-IT-033,Security Operations Centre (SOC),Mandatory,Continuous,"Top, Upper",Critical,CTRL-054,RBI-IT-CTRL-054,Real-time Monitoring,Detective,Automated,Continuous,SOC Manager,"Monitoring dashboards, Alert logs, Incident tickets"
Cybersecurity,CA-003,Chapter 4,REQ-033,RBI-IT-033,Security Operations Centre (SOC),Mandatory,Continuous,"Top, Upper",Critical,CTRL-055,RBI-IT-CTRL-055,SOC Performance Metrics,Detective,Automated,Monthly,CISO,"SOC metrics dashboard, Monthly reports, Improvement plans"
Cybersecurity,CA-003,Chapter 4,REQ-034,RBI-IT-034,Access Control Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-056,RBI-IT-CTRL-056,Access Control Policy,Preventive,Manual,Annual,CISO,"Access control policy, RBAC matrix, Approval workflows"
Cybersecurity,CA-003,Chapter 4,REQ-034,RBI-IT-034,Access Control Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-057,RBI-IT-CTRL-057,User Access Provisioning,Preventive,Semi-automated,Per request,IAM Team,"Access requests, Approvals, Provisioning logs"
Cybersecurity,CA-003,Chapter 4,REQ-034,RBI-IT-034,Access Control Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-058,RBI-IT-CTRL-058,Access Review and Recertification,Detective,Semi-automated,Quarterly,IAM Team,"Access review reports, Recertification records, Remediation actions"
Cybersecurity,CA-003,Chapter 4,REQ-035,RBI-IT-035,Multi-Factor Authentication (MFA),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-059,RBI-IT-CTRL-059,MFA Implementation,Preventive,Automated,Continuous,IAM Team,"MFA configuration, Coverage report, User enrollment records"
Cybersecurity,CA-003,Chapter 4,REQ-035,RBI-IT-035,Multi-Factor Authentication (MFA),Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-060,RBI-IT-CTRL-060,MFA Compliance Monitoring,Detective,Automated,Daily,SOC Team,"MFA usage reports, Non-compliance alerts, Remediation records"
Cybersecurity,CA-003,Chapter 4,REQ-037,RBI-IT-037,Network Security,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-061,RBI-IT-CTRL-061,Network Segmentation,Preventive,Manual,Annual,Network Security Team,"Network architecture, Segmentation design, VLAN configuration"
Cybersecurity,CA-003,Chapter 4,REQ-037,RBI-IT-037,Network Security,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-062,RBI-IT-CTRL-062,Firewall Management,Preventive,Semi-automated,Quarterly,Network Security Team,"Firewall rules, Rule review logs, Change records"
Cybersecurity,CA-003,Chapter 4,REQ-037,RBI-IT-037,Network Security,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-063,RBI-IT-CTRL-063,Intrusion Detection/Prevention,Detective,Automated,Continuous,SOC Team,"IDS/IPS configuration, Alert logs, Incident reports"
Cybersecurity,CA-003,Chapter 4,REQ-038,RBI-IT-038,Endpoint Security,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-064,RBI-IT-CTRL-064,Antivirus/Anti-malware Deployment,Preventive,Automated,Continuous,Endpoint Security Team,"Deployment status, Update logs, Scan reports"
Cybersecurity,CA-003,Chapter 4,REQ-038,RBI-IT-038,Endpoint Security,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-065,RBI-IT-CTRL-065,Patch Management,Preventive,Semi-automated,Monthly,Patch Management Team,"Patch inventory, Deployment reports, Compliance status"
Cybersecurity,CA-003,Chapter 4,REQ-038,RBI-IT-038,Endpoint Security,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-066,RBI-IT-CTRL-066,Endpoint Detection and Response (EDR),Detective,Automated,Continuous,SOC Team,"EDR deployment, Alert logs, Threat reports"
Cybersecurity,CA-003,Chapter 4,REQ-042,RBI-IT-042,Encryption Standards,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-067,RBI-IT-CTRL-067,Encryption Policy,Preventive,Manual,Annual,CISO,"Encryption policy, Standards document, Algorithm specifications"
Cybersecurity,CA-003,Chapter 4,REQ-042,RBI-IT-042,Encryption Standards,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-068,RBI-IT-CTRL-068,Key Management,Preventive,Automated,Continuous,Security Team,"KMS configuration, Key rotation logs, Access logs"
Cybersecurity,CA-003,Chapter 4,REQ-042,RBI-IT-042,Encryption Standards,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-069,RBI-IT-CTRL-069,Encryption Compliance Monitoring,Detective,Automated,Monthly,Security Team,"Compliance reports, Scan results, Remediation records"
Cybersecurity,CA-003,Chapter 4,REQ-043,RBI-IT-043,Vulnerability Assessment and Penetration Testing (VAPT),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-070,RBI-IT-CTRL-070,VAPT Vendor Selection,Preventive,Manual,Annual,CISO,"Vendor certifications, Engagement letter, Scope document"
Cybersecurity,CA-003,Chapter 4,REQ-043,RBI-IT-043,Vulnerability Assessment and Penetration Testing (VAPT),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-071,RBI-IT-CTRL-071,VAPT Execution,Detective,Manual,Annual,CISO,"VAPT report, Findings summary, Risk ratings"
Cybersecurity,CA-003,Chapter 4,REQ-043,RBI-IT-043,Vulnerability Assessment and Penetration Testing (VAPT),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-072,RBI-IT-CTRL-072,Vulnerability Remediation,Corrective,Manual,As needed,IT Security Team,"Remediation plan, Patch records, Retest results"
Cybersecurity,CA-003,Chapter 4,REQ-044,RBI-IT-044,Security Information and Event Management (SIEM),Mandatory,Continuous,"Top, Upper",Critical,CTRL-073,RBI-IT-CTRL-073,SIEM Deployment,Detective,Automated,Continuous,SOC Manager,"SIEM architecture, Log source inventory, Integration records"
Cybersecurity,CA-003,Chapter 4,REQ-044,RBI-IT-044,Security Information and Event Management (SIEM),Mandatory,Continuous,"Top, Upper",Critical,CTRL-074,RBI-IT-CTRL-074,SIEM Use Case Development,Detective,Manual,Quarterly,SOC Team,"Use case library, Tuning logs, Detection effectiveness"
Cybersecurity,CA-003,Chapter 4,REQ-045,RBI-IT-045,Cyber Incident Response,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-075,RBI-IT-CTRL-075,Incident Response Plan,Preventive,Manual,Annual,CISO,"IR plan, Playbooks, Contact lists, Escalation matrix"
Cybersecurity,CA-003,Chapter 4,REQ-045,RBI-IT-045,Cyber Incident Response,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-076,RBI-IT-CTRL-076,Incident Response Team,Preventive,Manual,Annual,CISO,"Team roster, Training records, Certification records"
Cybersecurity,CA-003,Chapter 4,REQ-045,RBI-IT-045,Cyber Incident Response,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-077,RBI-IT-CTRL-077,Incident Response Drills,Detective,Manual,Semi-annual,CISO,"Drill scenarios, Execution records, Lessons learned, Improvement plans"
Cybersecurity,CA-003,Chapter 4,REQ-045,RBI-IT-045,Cyber Incident Response,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-078,RBI-IT-CTRL-078,Incident Reporting to RBI,Corrective,Manual,As needed,CISO/Compliance,"Incident reports, RBI notifications, Acknowledgments"
Cybersecurity,CA-003,Chapter 4,REQ-046,RBI-IT-046,Cyber Threat Intelligence,Mandatory,Continuous,"Top, Upper",High,CTRL-079,RBI-IT-CTRL-079,Threat Intelligence Platform,Detective,Automated,Continuous,Threat Intelligence Team,"TIP configuration, Feed subscriptions, Intelligence reports"
Cybersecurity,CA-003,Chapter 4,REQ-046,RBI-IT-046,Cyber Threat Intelligence,Mandatory,Continuous,"Top, Upper",High,CTRL-080,RBI-IT-CTRL-080,Threat Analysis and Dissemination,Detective,Manual,Weekly,Threat Analyst,"Threat bulletins, IOC lists, Mitigation recommendations"
Cybersecurity,CA-003,Chapter 4,REQ-047,RBI-IT-047,Cybersecurity Awareness and Training,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-081,RBI-IT-CTRL-081,Security Awareness Program,Preventive,Semi-automated,Annual,CISO,"Training curriculum, Attendance records, Assessment results"
Cybersecurity,CA-003,Chapter 4,REQ-047,RBI-IT-047,Cybersecurity Awareness and Training,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-082,RBI-IT-CTRL-082,Phishing Simulation,Detective,Automated,Quarterly,Security Awareness Team,"Simulation results, Click rates, Remedial training"
IT Operations and Resilience,CA-004,Chapter 5,REQ-050,RBI-IT-050,Business Continuity Planning (BCP),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-085,RBI-IT-CTRL-085,Business Impact Analysis,Preventive,Manual,Annual,BCP Coordinator,"BIA report, Critical process list, RTO/RPO definitions"
IT Operations and Resilience,CA-004,Chapter 5,REQ-050,RBI-IT-050,Business Continuity Planning (BCP),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-086,RBI-IT-CTRL-086,BCP Documentation,Preventive,Manual,Annual,BCP Coordinator,"BCP document, Recovery procedures, Contact lists"
IT Operations and Resilience,CA-004,Chapter 5,REQ-050,RBI-IT-050,Business Continuity Planning (BCP),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-087,RBI-IT-CTRL-087,BCP Testing,Detective,Manual,Annual,BCP Coordinator,"Test plan, Test results, Observations, Action items"
IT Operations and Resilience,CA-004,Chapter 5,REQ-051,RBI-IT-051,Disaster Recovery Planning (DRP),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-088,RBI-IT-CTRL-088,DR Plan Development,Preventive,Manual,Annual,DR Manager,"DR plan, RTO/RPO matrix, Recovery procedures"
IT Operations and Resilience,CA-004,Chapter 5,REQ-051,RBI-IT-051,Disaster Recovery Planning (DRP),Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-089,RBI-IT-CTRL-089,DR Testing,Detective,Manual,Annual,DR Manager,"DR test plan, Test results, RTO/RPO achievement, Lessons learned"
IT Operations and Resilience,CA-004,Chapter 5,REQ-052,RBI-IT-052,Data Backup and Recovery,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-090,RBI-IT-CTRL-090,Backup Policy Implementation,Preventive,Automated,Continuous,Backup Administrator,"Backup policy, Backup schedules, Backup logs"
IT Operations and Resilience,CA-004,Chapter 5,REQ-052,RBI-IT-052,Data Backup and Recovery,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-091,RBI-IT-CTRL-091,Backup Monitoring,Detective,Automated,Daily,Backup Administrator,"Backup reports, Failure alerts, Resolution records"
IT Operations and Resilience,CA-004,Chapter 5,REQ-052,RBI-IT-052,Data Backup and Recovery,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-092,RBI-IT-CTRL-092,Restoration Testing,Detective,Manual,Quarterly,Backup Administrator,"Test plan, Restoration logs, Validation results"
IT Operations and Resilience,CA-004,Chapter 5,REQ-053,RBI-IT-053,Alternate Site Management,Mandatory,Continuous,"Top, Upper",Critical,CTRL-093,RBI-IT-CTRL-093,Alternate Site Setup,Preventive,Manual,One-time,Infrastructure Manager,"Site documentation, Distance certification, Setup records"
IT Operations and Resilience,CA-004,Chapter 5,REQ-053,RBI-IT-053,Alternate Site Management,Mandatory,Continuous,"Top, Upper",Critical,CTRL-094,RBI-IT-CTRL-094,Data Synchronization,Preventive,Automated,Continuous,Infrastructure Manager,"Replication configuration, Sync logs, Lag monitoring"
IT Operations and Resilience,CA-004,Chapter 5,REQ-054,RBI-IT-054,Capacity Planning,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-095,RBI-IT-CTRL-095,Capacity Assessment,Preventive,Semi-automated,Quarterly,Infrastructure Manager,"Capacity reports, Utilization trends, Forecast models"
IT Operations and Resilience,CA-004,Chapter 5,REQ-054,RBI-IT-054,Capacity Planning,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-096,RBI-IT-CTRL-096,Capacity Expansion Planning,Preventive,Manual,Annual,Infrastructure Manager,"Expansion plans, Budget approvals, Implementation records"
IT Audit and Assurance,CA-005,Chapter 6,REQ-059,RBI-IT-059,IT Audit Framework,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-105,RBI-IT-CTRL-105,IT Audit Policy,Preventive,Manual,Annual,Chief Audit Executive,"IT audit policy, Audit charter, Methodology"
IT Audit and Assurance,CA-005,Chapter 6,REQ-059,RBI-IT-059,IT Audit Framework,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-106,RBI-IT-CTRL-106,Annual Audit Plan,Preventive,Manual,Annual,Chief Audit Executive,"Risk assessment, Audit plan, Board approval"
IT Audit and Assurance,CA-005,Chapter 6,REQ-060,RBI-IT-060,Internal IT Audit,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-107,RBI-IT-CTRL-107,Internal Audit Execution,Detective,Manual,Per plan,Internal Audit Team,"Audit programs, Working papers, Audit reports"
IT Audit and Assurance,CA-005,Chapter 6,REQ-060,RBI-IT-060,Internal IT Audit,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-108,RBI-IT-CTRL-108,Auditor Qualification,Preventive,Manual,Annual,Chief Audit Executive,"Auditor resumes, Certifications, Training records"
IT Audit and Assurance,CA-005,Chapter 6,REQ-061,RBI-IT-061,External IT Audit,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-109,RBI-IT-CTRL-109,External Auditor Appointment,Preventive,Manual,Annual,Audit Committee,"Auditor credentials, Engagement letter, Independence declaration"
IT Audit and Assurance,CA-005,Chapter 6,REQ-061,RBI-IT-061,External IT Audit,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-110,RBI-IT-CTRL-110,External Audit Execution,Detective,Manual,Annual,CIO/CISO,"Audit scope, Audit report, Management responses"
